Player,Touches,Accurate passes,Assists,xA,Chances created,Passes into final third,Accurate crosses,Accurate long balls
Toby Alderweireld,102,71,0,"0,2",1,15,0,8
Soumaila Coulibaly,88,74,0,"0,01",0,3,0,2
Yaroslav Rakitskiy ,82,58,0,"0,71",1,9,0,4
Jelle Bataille,78,44,0,"0,08",0,10,2,4
Yukhym Konoplia,73,38,0,"0,35",0,4,0,0
Mykola Matviyenko ,72,55,0,"0,01",0,2,0,5
Jean Butez ,69,42,0,0,0,0,0,11
Yegor Nazaryna ,65,44,1,"0,44",1,5,1,0
Georgiy Sudakov ,63,39,0,"0,14",1,9,0,3
Arthur Vermeeren,61,39,2,"0,22",2,3,1,1
Irakli Azarovi ,59,33,0,"0,26",3,3,0,1
Owen Wijndal,58,29,0,"0,01",0,0,0,1
Taras Stepanenko ,55,38,0,"0,03",0,8,0,2
Oleksandr Zubkov,51,25,0,"0,08",1,3,0,3
Arbnor Muja ,49,26,0,"0,02",1,2,1,2
Michel Ange Balikwisha,49,20,0,"0,07",1,4,0,0
Mandela Keita,47,34,0,"0,02",0,3,0,2
Dmytro Kryskiv ,37,18,0,"0,31",2,1,0,1
Dmytro Riznyk,35,18,0,0,0,0,0,5
 Danylo Sikan,30,16,0,"0,02",3,1,0,0
Vincent Janssen ,30,20,0,"0,02",0,2,0,0
Jurgen Ekkelenkamp,24,19,0,"0,11",2,1,0,1
Anthony Valencia ,13,3,0,0,0,0,0,1
Alhassan Yusuf,12,9,0,0,0,1,0,0
Zeno Van Den Bosch,9,9,0,"0,02",0,2,0,1
George Ilenikhena,3,1,0,"0,01",1,0,0,0
 Maryan Shved,2,1,0,0,0,0,0,0
